Nazwa|Cena|Miasto|Dzielnica|Inwestycja|Pow. całkowita|Rynek|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Balkon|Taras|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Pow. użytkowa|Stan nieruchomości|Wysokość wnętrza|Typ kuchni|Liczba łazienek|łazienka razem z WC|Pow. loggii|Forma własności|Stan budynku|Pow. łazienki|Pow. balkonu|Dostępne od|Cena do negocjacji|Pow. tarasu|Pow. ogródka|Stolarka okienna|Typ domu|Dodatkowe koszty|Lokalizacja garażu|Kominek|Typ nieruchomości
Komfortowy apartament w centrum Gdyni|702 408 zł|Gdynia, |Św. Piotra||41,81 m²|Pierwotny|2023|05.02.2024|09.04.2024|morizon-EC972426296|126|0|2/5|5|||||Na wyłączność|||||||||||||||30.06.2023|||||||||
4 pokojowe mieszkanie 80m2 w Inwestycji Premium|755 202 zł|Gdynia M., |Gdynia, ||80,25 m²|Pierwotny||27.02.2024|08.04.2024|morizon-BHN-MS-4067|82|0||||3|Tak|||||||Deweloperski|||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|773 000 zł|Gdynia, |Grabówek, ||50 m²|Pierwotny|2023|17.12.2023|26.03.2024|morizon-EC236051081|328|0|4/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|49,84 m²||||||||||||||||||||
Opis nieruchomości|467 450 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,19 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.13|293|0|||||||||||||||||||||||||||||||
Dwa poziomy w Gdyni w idealnym stanie|847 154 zł|Gdynia, |Wielki Kack, ||137,40 m²|Wtórny||12.07.2023|25.03.2024|morizon-19|900|0|3/4|4|2||Tak|||Apartamentowiec||||Do odświeżenia||Osobna||Tak||Spółdzielcze-własnościowe z KW|Bardzo dobry||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|869 000 zł|Gdynia, |Grabówek, ||58 m²|Pierwotny|2023|01.09.2023|26.03.2024|morizon-EC216868415|242|0|1/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|57,54 m²||||||||||||||||||||
M3 z widokiem na Sea Tower i Kamienna Gorę|997 000 zł|Gdynia, |Śródmieście, ||52,44 m²|Wtórny|1956|15.12.2023|05.03.2024|morizon-119562|378|0|5/5|5|||||||||||||||||||||||||||||
Przestronne i pełne światła mieszkanie dla rodziny|999 000 zł|Gdynia, |Wielki Kack||120,70 m²|Wtórny|2009|17.10.2023|12.04.2024|morizon-HEX417331|555|0|1/3|3|||Tak|Tak|Na wyłączność|||||||||||||||31.10.2023|||||||||
B.dobra cena, 5 pokoi, ogród 250 m2, hala garażowa|1 037 918 zł|Gdynia, |Wielki Kack, ||105,91 m²|Pierwotny|2024|11.12.2023|18.03.2024|morizon-DH135257|213|0||3||4||||Apartamentowiec||||||||||||||20.09.2024|||||||||
Komfortowe 3 pokoje - Bernadowo Park Gdynia|1 065 000 zł|Gdynia, |Mały Kack, ||59,18 m²|Wtórny|2020|27.11.2023|25.02.2024|morizon-DH471625|298|0||3||2||Tak||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
wykończony, słoneczny apartament, ogród 287m2, Ogrody Tesoro|1 119 000 zł|Gdynia, |Pogórze, ||80 m²|Pierwotny|2022|05.07.2023|06.03.2024|morizon-39|481|0||1|1||Nie|Tak|Na wyłączność|Inna|Zróżnicowany||||300 cm|Półotwarta|1|Tak||Własność|Bardzo dobry|||28.11.2023|Tak||287 m²||||||
Nowy apartament, winda, duży balkon|1 367 190 zł|Gdynia, |Wielki Kack, ||124,29 m²|Wtórny|2024|07.12.2023|18.03.2024|morizon-DH851329|149|0|3/3|3||3|Tak|||Apartamentowiec|Pustak|Co Miejskie|||||||||||||||||||||
5 POKOJOWE MIESZKANIE W CENTRUM GDYNI|1 399 000 zł|Gdynia, |Działki Leśne, ||89,45 m²|Wtórny||05.07.2023|06.12.2023|morizon-PH160208|249|0|4/4|4||||||||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|502 000 zł|Gdynia, |Grabówek, ||34 m²|Pierwotny|2023|30.08.2023|26.03.2024|morizon-EC409017043|280|0||4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|33,70 m²||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|518 000 zł|Gdynia, |Grabówek, ||34,26 m²|Pierwotny|2023|01.09.2023|26.03.2024|morizon-EC840012668|374|0|1/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|554 000 zł|Gdynia, |Grabówek, ||37 m²|Pierwotny|2023|01.09.2023|26.03.2024|morizon-EC101296266|307|0|1/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|36,67 m²||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|577 000 zł|Gdynia, |Grabówek, ||38,20 m²|Pierwotny|2023|17.10.2023|26.03.2024|morizon-EC943690790|291|0|2/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|580 000 zł|Gdynia, |Grabówek, ||38,08 m²|Pierwotny|2023|17.10.2023|26.03.2024|morizon-EC704613176|157|0|1/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|610 000 zł|Gdynia, |Grabówek, ||40,12 m²|Pierwotny|2023|17.10.2023|26.03.2024|morizon-EC449035075|315|0|1/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Mieszkanie - Gdynia Śródmieście|620 000 zł|Gdynia, |Śródmieście, ||35 m²|Wtórny|1960|23.12.2023|20.03.2024|morizon-NY018267|688|0|1/6|6|||Nie|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|||Własność|Bardzo dobry||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|626 000 zł|Gdynia, |Grabówek, ||40,12 m²|Pierwotny|2023|30.08.2023|26.03.2024|morizon-EC151886741|195|0||4|1|1|||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Duży ogródek, winda, miejsce w hali|697 000 zł|Gdynia, |Wielki Kack, ||64,57 m²|Wtórny|2023|23.01.2024|15.03.2024|morizon-DH165610|144|0|3/3|3|||Tak|||Kamienica|||||||||||||||||||||||
Nowoczesne 3 pokoje z tarasem i ogródkiem|739 000 zł|Gdynia, |Chwarzno-Wiczlino, ||58,44 m²|Wtórny|2016|01.12.2023|20.02.2024|morizon-TC551012|481|0||3||2||Tak|Na wyłączność|Apartamentowiec|Silikat|Co Miejskie||||||||||||21.11.2023|||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|747 000 zł|Gdynia, |Grabówek, ||50 m²|Pierwotny|2023|01.09.2023|26.03.2024|morizon-EC536586101|253|0|1/4|4|1|1|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|49,84 m²||||||||||||||||||||
3 pokojowe mieszkanie z dużym ogrodem i garażem|750 000 zł|Gdynia, |Witomino, ||65 m²|Wtórny|1965|20.11.2023|17.02.2024|morizon-DH274755|269|0|1/1|1||3||||Wolnostojący||||||||||||||27.11.2023|||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|778 000 zł|Gdynia, |Grabówek, ||50 m²|Pierwotny|2023|24.06.2023|26.03.2024|morizon-EC750196309|338|0||4|1|1|||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Piękne mieszkanie w samym centrum|799 000 zł|Gdynia, |Śródmieście, ||55 m²|Wtórny||19.12.2023|25.03.2024|morizon-PN241780|220|0|4/10|10||2|Tak|||Wieżowiec||Co Miejskie||||||||||||19.12.2023|||||||||
4 pokojowe mieszkanie 82m2 w Inwestycji Premium|865 527 zł|Gdynia M., |Gdynia, ||82,36 m²|Pierwotny||17.02.2024|08.04.2024|morizon-BHN-MS-4047|81|0||||3|||||||||||||||||||||||||||
3 pokoje,ogródek na granicy Orłowa i Małego Kacka|915 000 zł|Gdynia, |Mały Kack, ||67,78 m²|Pierwotny|2023|11.12.2023|15.03.2024|morizon-WH741300|189|0||3||2||Tak||Blok Mieszkalny|Cegła||67,50 m²|||||||||||01.10.2023|||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|983 000 zł|Gdynia, |Grabówek, ||63,37 m²|Pierwotny|2023|24.01.2024|19.12.2023|morizon-EC918224445|90|0|3/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Mieszkanie - Gdynia Wzgórze Św. Maksymiliana|1 290 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||139,50 m²|Wtórny|1991|19.12.2023|28.03.2024|morizon-CN0756|233|0||2|||Nie|Tak||||Gazowe||||Osobna|1|Nie||Własność|Do odświeżenia||||||||||||
ELEGANCKI APARTAMENT z widokiem na LAS (4 pokoje)|1 530 000 zł|Gdynia, |Chwarzno-Wiczlino, ||93,12 m²|Wtórny|2018|09.09.2023|27.02.2024|morizon-WH523643|1 016|0|1/3|3|1|2|Tak|Tak|Na wyłączność|Apartamentowiec|Pustak|Co Miejskie|||||||||||||||||||||
"Apartament z widokiem na morze | With Sea View"|2 700 000 zł|Gdynia, |Działki Leśne, ||169,88 m²|Wtórny|2022|26.10.2023|29.03.2024|morizon-870713|243|0|2/2|2|1||Tak|Tak||||||||||||||||26.10.2023|||||||||
Wygodne 3 pokoje ,I piętro, 63 m2|578 000 zł|Gdynia, |kmdr. Staniewicza||63 m²|Wtórny|1990|23.05.2023|08.04.2024|morizon-118359/3877/OMS|615|0|1/3|3||||||BLOK|||||||||||||||||||||||
"3 pokoje | Gdynia Dąbrowa"|660 000 zł|Gdynia, |Dąbrowa, ||62,60 m²|Wtórny|1999|17.11.2023|12.03.2024|morizon-FF03275|796|0|1/3|3|||Tak|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|Nie||Spółdzielcze własnościowe z KW|Bardzo dobry|||01.05.2024|||||||||
3 pokojowe mieszkanie 61m2 w Inwestycji Premium|710 712 zł|Gdynia M., |Gdynia, ||61,28 m²|Pierwotny||17.02.2024|08.04.2024|morizon-BHN-MS-4045|76|0||||2|||||||||||||||||||||||||||
Mieszkanie z potencjałem inwestycyjnym|720 000 zł|Gdynia, |Obłuże, ||94 m²|Wtórny|1970|09.10.2023|07.03.2024|morizon-304598|334|0|2/2|2|||Tak|||Dom Wielorodzinny|Cegła|Gazowe|||||||||||||||||||||
4 pokojowe mieszkanie 74m2 w Inwestycji Premium|748 153 zł|Gdynia M., |Gdynia, ||74,55 m²|Pierwotny||17.02.2024|08.04.2024|morizon-BHN-MS-4046|89|0||||3|||||||||||||||||||||||||||
4 pokoje w świetnej lokalizacji|790 000 zł|Gdynia, |Fikakowo, ||72,20 m²|Wtórny|1999|06.09.2023|09.04.2024|morizon-HEX240726714|403|0|2/4|4||3|Tak||Na wyłączność||||||||||||||||||||||||
Opis nieruchomości|518 569 zł|Gdynia, |Cisowa, |ZBOŻOWA|40,72 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.41|460|36|||||||||||||||||||||||||||||||
Mieszkanie blisko centrum 3pokoje 73m2 Gdynia|1 031 766 zł|Gdynia, |Chylonia, ||71,83 m²|Pierwotny||20.03.2024|20.03.2024|morizon-DJ436342|51|0|17/17|17|1|2|Tak|||Blok Mieszkalny||Co Miejskie|||||||||||||||||||||
Nowoczesny apartament, balkon 31m2, hala garażowa|1 045 380 zł|Gdynia, |Wielki Kack, ||99,56 m²|Pierwotny|2024|07.12.2023|18.03.2024|morizon-DH620251|160|0|3/3|3||3|Tak|||Apartamentowiec||Co Miejskie||||||||||||20.09.2024|||||||||
Nowe mieszkanie 74 m2, 4 pokojowe, urządzone|1 221 000 zł|Gdynia, |Orłowo, ||74 m²|Wtórny|2022|12.04.2023|27.02.2024|morizon-WH476411|1 335|0|1/3|3|1|2|Tak|||Apartamentowiec|Cegła|Pompa Ciepła||||||||||||01.04.2023|||||||||
Gotowa Inwestycja, Nowoczesna Architektura/Osiedle|1 240 875 zł|Gdynia, |Redłowo, ||69,46 m²|Pierwotny|2021|26.09.2023|20.03.2024|morizon-862652|140|0|8/8|8||2||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Kamienna Góra, apartamentowiec z halą garażową|1 580 000 zł|Gdynia, |Kamienna Góra, ||80,20 m²|Wtórny|2000|24.01.2024|24.01.2024|morizon-DH756167|235|0|2/3|3|||||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowoczesny Apartament z Tarasem 62 m2, Piętro 8/8|3 821 804 zł|Gdynia, |Redłowo, ||153,37 m²|Pierwotny|2022|18.05.2023|20.03.2024|morizon-692801560|437|0|8/8|8|||Tak|Tak||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Elegancki apartament z widokiem na morze|5 600 000 zł|Gdynia, |Orłowo, ||160 m²|Wtórny|2011|21.04.2023|20.02.2024|morizon-WH779265230|1 984|0|1/2|2|2|||Tak||Apartamentowiec|Inne|Co Własne|||||||||||||||||||||
Opis nieruchomości|459 000 zł|Gdynia, |Działki Leśne, ||28 m²|Wtórny||06.03.2024|29.03.2024|morizon-HEX658396|139|0||4|||||||||||||||||||||||||||||
Mieszkanie - Wielki Kack|489 000 zł|Gdynia, |Wielki Kack, ||50,75 m²|Wtórny|1993|02.02.2024|01.02.2024|morizon-TH01246|525|0|4/4|4|||Tak|Nie|Na wyłączność|||C.o. miejskie||||Osobna|1|||Spółdzielcze własnościowe|Bardzo dobry||||||||||||
Urokliwa Inwestycja TORO w Gdyni|691 000 zł|Gdynia, |Grabówek, ||44,72 m²|Pierwotny|2023|24.07.2023|04.03.2024|morizon-259/9733/OMS|320|0||2||||||APARTAMENTOWIEC||||DO WYKOŃCZENIA|||1|||||||01.03.2024|||||||||
3 Pokoje z Ogrodem 150m2 /Karwiny|699 000 zł|Gdynia, |Karwiny, ||55,73 m²|Wtórny|1986|08.01.2024|19.02.2024|morizon-1610/13290/OMS|252|0||4||||||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ||BARDZO WYSOKI STANDARD|||1||||||||||||||||
Mieszkanie o dużej przestrzeni - 2 pokoje w Gdyni|813 000 zł|Gdynia, |Śródmieście, ||65,12 m²|Wtórny||29.12.2023|02.01.2024|morizon-22697/2089/OMS|244|0|2/3|3|||||Na wyłączność|NISKI BLOK|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||OTWARTA|1|||WŁASNOŚĆ|||||||||||||
Seaport live in Gdynia Twoje nowe mieszkanie|892 000 zł|Gdynia, |Grabówek, ||58 m²|Pierwotny|2023|24.01.2024|17.12.2023|morizon-EC312357152|155|0|4/4|4|1|2|Tak||Na wyłączność|Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|942 000 zł|Gdynia, |Mały Kack, ||42,89 m²|Wtórny|2024|06.03.2023|12.02.2024|morizon-WH172479|475|0|1/2|2|1|1|Tak|||Apartamentowiec|YTong|Gazowe||||||||||||01.04.2024|||||||||
Nowoczesne kameralne osiedle na skraju lasu|1 100 900 zł|Gdynia, |Mały Kack, ||50,19 m²|Wtórny|2024|31.05.2023|12.02.2024|morizon-WH350327|264|0|1/2|2||1|Tak|||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|1 101 100 zł|Gdynia, |Mały Kack, ||50,19 m²|Wtórny|2024|10.11.2023|12.02.2024|morizon-WH813393246|124|0|1/2|2||1|Tak|||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
"Stylowy apartament z antresolą |15 min. do centrum"|1 200 000 zł|Gdynia, |Wiczlino, ||124,71 m²|Wtórny|2016|31.10.2023|29.02.2024|morizon-POMY626|222|0|3/3|3|2||Tak||Na wyłączność|Apartamentowiec|Pustak|Ogrzewanie miejskie||Normalny||||||Własność|||||||||||||
Gotowa Inwestycja, Nowoczesne Osiedle|1 257 353 zł|Gdynia, |Redłowo, ||77,76 m²|Pierwotny|2021|27.09.2023|20.03.2024|morizon-205699|226|0|7/16|16||2|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|1 408 000 zł|Gdynia, |Mały Kack, ||73,58 m²|Pierwotny|2024|07.03.2023|15.02.2024|morizon-WH133841|373|0|1/2|2||1|Tak|||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
6 pokoi/bezczynszowe/fotowoltaika/garaż/Dąbrowa|1 430 000 zł|Gdynia, |Dąbrowa, ||144,55 m²|Wtórny|2009|19.03.2023|05.02.2024|morizon-DH244171|521|0|1/2|2||4|Tak|||Dom Wielorodzinny|Silikat|Co Własne|126,05 m²||||||||||||||||||||
Gotowa Inwestycja, Nowoczesne Osiedle|1 437 275 zł|Gdynia, |Redłowo, ||85,11 m²|Pierwotny|2021|27.09.2023|20.03.2024|morizon-531415|211|0|3/16|16||2|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Gotowa Inwestycja, Nowoczesne Osiedle|1 445 678 zł|Gdynia, |Redłowo, ||86,46 m²|Pierwotny|2021|27.09.2023|20.03.2024|morizon-455988|233|0|3/16|16||3|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|1 452 600 zł|Gdynia, |Mały Kack, ||73,58 m²|Pierwotny|2024|10.11.2023|12.02.2024|morizon-WH979365|134|0|1/2|2||2|Tak|||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Gotowa Inwestycja, Nowoczesne Osiedle|1 455 552 zł|Gdynia, |Redłowo, ||85,07 m²|Pierwotny|2021|27.09.2023|20.03.2024|morizon-242703|161|0|4/16|16||2|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Gotowa Inwestycja, Nowoczesne Osiedle|1 494 368 zł|Gdynia, |Redłowo, ||85,07 m²|Pierwotny|2021|27.09.2023|20.03.2024|morizon-752641|174|0|5/16|16||2|Tak|||Apartamentowiec||Co Miejskie|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|1 885 900 zł|Gdynia, |Mały Kack, ||96,95 m²|Pierwotny|2024|08.03.2023|12.02.2024|morizon-WH343931|445|0|1/2|2||3|Tak|||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Duży apartament ze 130 metrowym ogródkiem|1 994 600 zł|Gdynia, |Mały Kack, ||107,86 m²|Pierwotny|2024|10.11.2023|12.02.2024|morizon-WH905232|163|0||2||1||Tak||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Nowoczesne mieszkanie z dużym ogrodem|1 996 300 zł|Gdynia, |Mały Kack, ||99,99 m²|Wtórny|2024|06.03.2023|12.02.2024|morizon-WH480727071|525|0||2|1|3||Tak||Apartamentowiec|YTong|Gazowe||||||||||||01.04.2024|||||||||
Czteropokojowe mieszkanie z balkonem blisko lasu|2 136 751 zł|Gdynia, |Mały Kack, ||94,13 m²|Wtórny|2018|02.10.2023|13.02.2024|morizon-WH907134|495|0|1/3|3|1||Tak|||Apartamentowiec|Inne|Co Miejskie|||||||||||||||||||||
Duży apartament ze 120 metrowym ogródkiem|2 253 600 zł|Gdynia, |Mały Kack, ||102,88 m²|Wtórny|2024|31.05.2023|12.02.2024|morizon-WH469000090|327|0||2||3||Tak||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Duży apartament ze 120 metrowym ogródkiem|2 253 600 zł|Gdynia, |Mały Kack, ||102,88 m²|Pierwotny|2024|08.03.2023|12.02.2024|morizon-WH178974|450|0||2||3||Tak||Apartamentowiec|YTong|Gazowe|||||||||||||||||||||
Nowoczesne kameralne osiedle na skraju lasu|2 806 600 zł|Gdynia, |Mały Kack, ||146,61 m²|Wtórny|2024|19.09.2023|12.02.2024|morizon-WH170258|265|0|2/2|2||4|Tak|Tak||Apartamentowiec|YTong|||||||||||||01.04.2024|||||||||
Nowoczesne kameralne osiedle na skraju lasu|2 948 800 zł|Gdynia, |Mały Kack, ||146,61 m²|Wtórny|2024|21.04.2023|12.02.2024|morizon-WH848077187|331|0|2/2|2|1|4||Tak||Apartamentowiec|YTong|Gazowe||||||||||||01.04.2024|||||||||
Nowoczesne kameralne osiedle na skraju lasu|3 055 400 zł|Gdynia, |Mały Kack, ||146,61 m²|Wtórny|2024|06.03.2023|12.02.2024|morizon-WH942717263|630|0|2/2|2|1|4|Tak|Tak||Apartamentowiec|Silikat|Gazowe||||||||||||01.04.2024|||||||||
Przetarg na sprzedaż mieszkania Gdynia Chylonia|368 000 zł|Gdynia, |Chylonia, ||44,30 m²|Wtórny||03.04.2024|10.04.2024|morizon-gratka-34142505|113|0|3/5|5||||||Blok||||Dobry||Osobna||Tak||Spoldzielcze-wlasnosciowe-KW|||||||||||||
Opis nieruchomości|574 751 zł|Gdynia, |Cisowa, |ZBOŻOWA|51,18 m²|Pierwotny|2025|01.03.2024|12.04.2024|morizon-67-67.18|686|29|||||||||||||||||||||||||||||||
Mieszkanie blisko WSB I Linia SKM I 15min do plaży|449 000 zł|Gdynia, |Śródmieście, ||40,50 m²|Wtórny||20.11.2023|08.04.2024|morizon-HEX587023|762|0||5|||||||||||||||||||||||||||||
GDYNIA - 3 pokoje z balkonem i piwnicą - I piętro|499 000 zł|Gdynia, |Chylonia, ||45,60 m²|Wtórny|1970|16.12.2023|29.02.2024|morizon-GAHA525|378|0|1/11|11|||Tak|||Wieżowiec|Mieszana|Ogrzewanie miejskie||Normalny|265 cm|Kuchnia zamykana z oknem||||Własność|||||||||||||
Gdynia 3 pokoje do wprowadzenia|549 000 zł|Gdynia, |Swarzewska||45,70 m²|Wtórny||21.03.2024|21.03.2024|morizon-HEX790577|65|0|6/10|10|||Tak||||||||||||||||||||||||||
Gotowe na najem. 5 pokoi. Do wejścia|589 000 zł|Gdynia, |Leszczynki, ||62 m²|Wtórny|1969|18.03.2024|18.03.2024|morizon-HEX697424|106|0|4/4|4||5|Tak||Na wyłączność||||||||||||||||||||||||
Duży balkon, winda, hala garażowa|628 000 zł|Gdynia, |Wielki Kack, ||46,19 m²|Pierwotny|2023|12.12.2023|15.03.2024|morizon-DH979199|160|0|1/3|3|||Tak|||Kamienica||||||||||||||01.09.2024|||||||||
3 Pokoje Po Remoncie Gdynia Redłowo|649 000 zł|Gdynia, |Redłowo, ||51,91 m²|Wtórny||10.01.2024|19.02.2024|morizon-1530/13290/OMS|514|0|3/4|4||||||NISKI BLOK||C.O. Z SIECI MIEJSKIEJ||BARDZO WYSOKI STANDARD||ANEKS KUCHENNY|1||||||||||||||||
2 pokoje z balkonem Starowiejska / 3 Maja z windą|720 000 zł|Gdynia, |Śródmieście, ||48,16 m²|Wtórny|1962|16.08.2023|30.01.2024|morizon-3025/8402/OMS|485|0|4/4|4|||Tak||Na wyłączność|NISKI BLOK|CEGŁA|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|260 cm|ODDZIELNA|1|||WŁASNOŚĆ|||||||||||||
APARTAMENT INWESTYCYJNY W SERCU GDYNI|759 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||42,28 m²|Wtórny|2021|05.12.2023|02.04.2024|morizon-9448/8976/OMS|410|0|7/17|17|||||Na wyłączność|BLOK||C.O. Z SIECI MIEJSKIEJ||||ANEKS KUCHENNY||||WŁASNOŚĆ|||||||||||||
Przestronne mieszkanie na Wzgórzu do aranżacji|860 000 zł|Gdynia, |Wzgórze Św. Maksymiliana, ||79,34 m²|Wtórny|2004|14.11.2023|08.03.2024|morizon-PH792334|250|0|2/2|2|||||Na wyłączność|Dom Wielorodzinny||Gazowe|||||||||||||||||||||
Dwupokojowe mieszkanie blisko centrum Gdyni|915 000 zł|Gdynia, |Działki Leśne||43,58 m²|Wtórny|2022|10.02.2023|26.05.2023|morizon-EC811793|512|0|1/2|2|1|1||Tak||Kamienica||Co Własne||||||||||||30.01.2023|||||||||
Przestronne, trzypokojowe mieszkanie ul. Oliwkowa|930 000 zł|Gdynia, |Dąbrowa, ||84,10 m²|Wtórny|1998|03.01.2024|02.01.2024|morizon-BH06690|212|0|1/3|3|||Tak|Nie||||C.o. miejskie||||Osobna|1|||Własność|Bardzo dobry||||||||||||
Dwupoziomowe mieszkanie, 2 miejsca postojowe, dosk|939 000 zł|Gdynia, |Obłuże||76,01 m²|Wtórny|2016|15.11.2023|27.02.2024|morizon-GW017407|186|0|1/1|1|2||Tak|Nie||||Gazowe||||Półotwarta|2|||Własność|Bardzo dobry||||||||||||
Nowoczesna Inwestycja, Narożne Mieszkanie|992 416 zł|Gdynia, |Redłowo, ||75,32 m²|Pierwotny|2024|26.09.2023|28.03.2024|morizon-589060|142|0|3/16|16||2||||Apartamentowiec||Co Miejskie|||||||||||||||||||||
3 mieszkania - 218m2 - Benisławskiego - Gdynia|1 150 000 zł|Gdynia M., |Gdynia, ||218 m²|Wtórny|1997|11.10.2023|11.10.2023|morizon-YNK-MS-2200|366|0|1/3|3||||Tak|Na wyłączność|||Gazowe||Do wprowadzenia|||3|Tak||Własność|||25 m²|||||PCV|||||
Apartament na sprzedaż w nowoczesnym centrum Gdyni|1 158 176 zł|Gdynia, |Św. Piotra||66,85 m²|Pierwotny|2023|22.08.2023|09.04.2024|morizon-EC178199649|198|0|5/6|6||2|||Na wyłączność|||||||||||||||30.06.2023|||||||||
Przestronne 132 m2 osiedle z basenem przy lesie|1 715 000 zł|Gdynia, |Mały Kack, ||132 m²|Wtórny|2000|15.06.2023|09.01.2024|morizon-WH354790318|996|0|1/2|2|1|3|Tak|Tak|Na wyłączność|Apartamentowiec|Cegła|Co Miejskie|||||||||||||||||||||
Nowoczesny apartament 4-pok., 2 balkony - Redłowo|1 850 000 zł|Gdynia, |Redłowo, ||105,31 m²|Wtórny|2012|09.02.2023|15.11.2023|morizon-21775/2089/OMS|1 166|0|2/4|4|||Tak||Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD||OTWARTA|2||||||||||||||||
4 pokoje/ogród/ Spa /Gdynia Orłowo/700 m do plaży|2 956 180 zł|Gdynia, |Orłowo, ||105,60 m²|Pierwotny|2022|23.05.2023|22.07.2023|morizon-DH223309|458|0||3||3||Tak||Apartamentowiec|||99,29 m²|||||||||||04.05.2023|||||||||
Penthouse I Wyjątkowe 153m2 I Super widok|3 669 000 zł|Gdynia, |Redłowo, ||153,37 m²|Pierwotny|2023|09.10.2023|25.12.2023|morizon-00229551|288|0|8/8|8||3|Tak|Tak||Blok Mieszkalny|Konstrukcja żelbetowa|Co Miejskie|||||||||||||||||||||
M2 - idealne pod najem lub lokal usługowy|559 000 zł|Gdynia, |Śródmieście||35,54 m²|Wtórny||16.11.2023|23.01.2024|morizon-894850|349|0||4||||||||Co Miejskie|33,36 m²|||||||||||22.11.2023|||||||||
Opis nieruchomości|609 000 zł|Gdynia, |Karwiny, ||60 m²|Wtórny|1980|12.03.2024|13.03.2024|morizon-HEX221485|122|0|2/4|4|||||||||||||||||||||||||||||
Duże mieszkanie blisko SKM cisowa|660 000 zł|Gdynia, |Cisowa, ||80 m²|Wtórny|1980|03.11.2023|07.12.2023|morizon-PAN640291|347|0|1/4|4|||Tak|Nie|Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|||||||||||||||||||||
